2019,2019,AR,%,38.6,26.0,52.8,ALC1_2,CRDPREV,-92.27449074299966,34.74865012400045,H_B_ALL
2018,2018,RI,%,38.2,26.1,52.1,ALC1_2,CRDPREV,-71.52247031399963,41.70828019300046,NH_B_BLACK
2015,2015,PA,%,37.4,27.3,48.8,ALC1_2,CRDPREV,-77.86070029399963,40.79373015200048,H_B_ALL
2020,2020,GA,%,34.8,27.6,42.7,ALC1_2,CRDPREV,-83.62758034599966,32.83968109300048,NH_B_BLACK
2013,2013,NJ,%,34.6,28.4,41.3,ALC1_2,CRDPREV,-74.27369128799967,40.13057004800049,H_B_ALL
2018,2018,IA,%,33.7,28.6,39.3,ALC1_2,CRDPREV,-93.81649055599968,42.46940091300047,NH_B_BLACK
2019,2019,NJ,%,39.8,34.4,45.4,ALC1_2,CRDPREV,-74.27369128799967,40.13057004800049,H_B_ALL
2014,2014,MD,%,40.3,34.9,45.9,ALC1_2,CRDPREV,-76.60926011099963,39.29058096400047,NH_B_BLACK
2019,2019,MA,%,41.3,35.8,47.1,ALC1_2,CRDPREV,-72.08269067499964,42.27687047000046,NH_B_BLACK
2016,2016,VA,%,47.5,36.2,58.9,ALC1_2,CRDPREV,-78.45789046299967,37.54268067400045,NH_B_BLACK
2018,2018,NE,%,43.6,36.3,51.2,ALC1_2,CRDPREV,-99.36572062299967,41.6410409880005,NH_B_BLACK
2013,2013,NE,%,44.9,38.1,51.8,ALC1_2,CRDPREV,-99.36572062299967,41.6410409880005,NH_B_BLACK
2016,2016,AK,%,43.8,38.5,49.2,ALC1_2,CRDPREV,-147.72205903599973,64.84507995700051,NH_B_AIAN
2018,2018,SD,%,46.2,38.5,54.2,ALC1_2,CRDPREV,-100.3735306369997,44.353130053000484,H_B_ALL
2015,2015,OK,%,51.1,39.3,62.8,ALC1_2,CRDPREV,-97.52107021399968,35.47203135600046,NH_B_AIAN
2020,2020,IL,%,49.7,41.9,57.4,ALC1_2,CRDPREV,-88.99771017799969,40.48501028300046,NH_B_BLACK
2013,2013,HI,%,46.6,42.1,51.2,ALC1_2,CRDPREV,-157.85774940299973,21.304850435000446,NH_B_NHPI
2012,2012,OH,%,50.6,42.9,58.2,ALC1_2,CRDPREV,-82.40426005599966,40.06021014100048,NH_B_BLACK
2016,2016,AK,%,53.0,44.1,61.8,ALC1_2,CRDPREV,-147.72205903599973,64.84507995700051,NH_B_MULTI
2013,2013,CO,%,63.8,44.2,79.7,ALC1_2,CRDPREV,-106.13361092099967,38.843840757000464,NH_B_BLACK
2019,2019,ND,%,69.3,44.7,86.3,ALC1_2,CRDPREV,-100.11842104899966,47.47531977900047,H_B_ALL
2013,2013,NM,%,48.7,45.1,52.4,ALC1_2,CRDPREV,-106.24058098499967,34.52088095200048,H_B_ALL
